* This is the BiomeMobWeight report file that is output every time the server starts.,,,,,,,
*,,,,,,,
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.,,,,,,,
* If you remove all lines for a Biome,the default values will be used,,,,,,
* So for an 'empty' biome,leave one line with a CREATURE or the AMBIENT line with bats.,,,,,,
* Lines starting with '*' are comments and ignored,,,,,,,
* When this file is read,SBU writes summary information to the log file.,,,,,,
*,,,,,,,
1,private,biomeswevegone:allium_shrubland,MONSTER,minecraft:spider,10,4,4
2,private,biomeswevegone:allium_shrubland,MONSTER,minecraft:zombie,10,4,4
3,private,biomeswevegone:allium_shrubland,MONSTER,minecraft:zombie_villager,5,1,1
4,private,biomeswevegone:allium_shrubland,MONSTER,minecraft:skeleton,10,4,4
5,private,biomeswevegone:allium_shrubland,MONSTER,minecraft:creeper,10,4,4
6,private,biomeswevegone:allium_shrubland,MONSTER,minecraft:slime,10,4,4
7,private,biomeswevegone:allium_shrubland,MONSTER,minecraft:enderman,5,1,4
8,private,biomeswevegone:allium_shrubland,MONSTER,minecraft:witch,5,1,1
9,private,biomeswevegone:allium_shrubland,MONSTER,irons_spellbooks:necromancer,18,1,1
10,private,biomeswevegone:allium_shrubland,CREATURE,biomeswevegone:oddion,18,2,8
11,private,biomeswevegone:allium_shrubland,CREATURE,minecraft:sheep,12,4,4
12,private,biomeswevegone:allium_shrubland,CREATURE,minecraft:pig,10,4,4
13,private,biomeswevegone:allium_shrubland,CREATURE,minecraft:chicken,10,4,4
14,private,biomeswevegone:allium_shrubland,CREATURE,minecraft:cow,8,4,4
15,private,biomeswevegone:allium_shrubland,CREATURE,minecraft:horse,5,2,6
16,private,biomeswevegone:allium_shrubland,CREATURE,minecraft:donkey,5,1,3
17,private,biomeswevegone:allium_shrubland,CREATURE,ars_nouveau:drygmy,5,1,2
18,private,biomeswevegone:allium_shrubland,CREATURE,ars_nouveau:gift_starby,5,1,1
19,private,biomeswevegone:allium_shrubland,CREATURE,ars_nouveau:starbuncle,5,1,2
20,private,biomeswevegone:allium_shrubland,CREATURE,ars_nouveau:whirlisprig,5,1,2
21,private,biomeswevegone:allium_shrubland,AMBIENT,minecraft:bat,10,8,8
22,private,biomeswevegone:allium_shrubland,UNDERGROUND_WATER_CREATURE,minecraft:glow_squid,10,4,6
23,private,biomeswevegone:amaranth_grassland,MONSTER,minecraft:spider,10,4,4
